# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0161937 0.0145508 0.016801 0.0475454 215.339
200 0.0741865 0.0654374 0.071265 0.210889 279.769
300 0.124661 0.131247 0.12119 0.377099 334.724
400 0.199742 0.196736 0.1558 0.552278 332.653
500 0.224879 0.210274 0.199562 0.634715 323.085
600 0.278301 0.209492 0.233082 0.720875 306.793
700 0.268672 0.226425 0.271888 0.766985 307.229
800 0.277509 0.2747 0.285059 0.837268 294.756
900 0.277346 0.293426 0.286077 0.856849 301.692
1000 0.268016 0.274882 0.303263 0.846161 322.467
1100 0.272052 0.288986 0.305575 0.866613 346.168
1200 0.286903 0.316289 0.322342 0.925534 319.737
1300 0.295437 0.318464 0.332541 0.946441 322.971
1400 0.298116 0.316646 0.35872 0.973483 313.577
1500 0.314072 0.3406 0.38469 1.03936 309.357
1600 0.362286 0.356617 0.433677 1.15258 292.397
1700 0.367915 0.361773 0.470087 1.19977 338.174
1800 0.365124 0.359468 0.469277 1.19387 342.856
1900 0.390829 0.384112 0.462908 1.23785 337.745
2000 0.40757 0.43033 0.462761 1.30066 326.854
2100 0.419264 0.446316 0.481242 1.34682 293.114
2200 0.463126 0.501204 0.553152 1.51748 306.332
2300 0.512021 0.567193 0.620765 1.69998 314.283
2400 0.556752 0.618099 0.655504 1.83035 307.571
2500 0.580716 0.620238 0.657885 1.85884 289.201
2600 0.556979 0.610157 0.640072 1.80721 289.997
2700 0.547016 0.615118 0.685171 1.8473 308.353
2800 0.555698 0.62816 0.723745 1.9076 321.68
2900 0.533058 0.645485 0.686146 1.86469 301.549
3000 0.533942 0.601387 0.684231 1.81956 309.381
3100 0.535077 0.570626 0.684727 1.79043 311.076
3200 0.583374 0.572819 0.635695 1.79189 307.904
3300 0.675805 0.606562 0.653751 1.93612 304.834
3400 0.768758 0.633958 0.661663 2.06438 308.978
3500 0.73898 0.644077 0.723933 2.10699 337.372
3600 0.709328 0.658291 0.825362 2.19298 340.78
3700 0.716425 0.662476 0.858006 2.23691 314.083
3800 0.680058 0.671579 0.866015 2.21765 301.414
3900 0.639844 0.656857 0.837112 2.13381 287.628
4000 0.660525 0.666412 0.871002 2.19794 296.546
4100 0.64794 0.685829 0.88902 2.22279 297.768
4200 0.646658 0.667574 0.902637 2.21687 323.888
4300 0.645346 0.687875 0.870258 2.20348 326.933
4400 0.636267 0.703172 0.861741 2.20118 317.272
4500 0.645428 0.71927 0.861366 2.22606 275.463
4600 0.633686 0.719202 0.901362 2.25425 312.444
4700 0.631564 0.723792 0.875771 2.23113 275.113
4800 0.593536 0.735726 0.890017 2.21928 308.07
4900 0.577819 0.730631 0.933888 2.24234 321.894
5000 0.583809 0.722927 0.984541 2.29128 280.729
5100 0.597701 0.729498 0.968881 2.29608 309.286
5200 0.635621 0.761001 0.981192 2.37781 283.712
5300 0.675095 0.787971 0.969319 2.43238 294.151
5400 0.660792 0.795116 0.989398 2.44531 284.006
5500 0.639673 0.798473 1.00416 2.4423 335.312
5600 0.62781 0.77427 0.998267 2.40035 320.035
5700 0.649894 0.799735 0.959076 2.4087 286.016
5800 0.65808 0.841202 0.875366 2.37465 300.963
5900 0.649953 0.827689 0.919339 2.39698 299.707
6000 0.648067 0.775622 0.889418 2.31311 316.963
6100 0.613894 0.812589 0.886253 2.31274 304.103
6200 0.591397 0.814208 0.907585 2.31319 303.989
6300 0.584282 0.773531 0.888499 2.24631 296.821
6400 0.598722 0.788484 0.924729 2.31194 284.385
6500 0.638579 0.836116 0.958445 2.43314 301.663
6600 0.637213 0.840252 0.93537 2.41283 324.247
